"15453","27474","75411","81565","83856","83989","85686","86233","88258","90440"
,Returns,Ratio
2007-11-30,0.0182889069661,0.00182889069661
2007-12-31,0.00385055788027,0.000385055788027
2008-01-31,0.0174954222778,0.00174954222778
2008-02-29,0.0265610206326,0.00265610206326
2008-03-31,0.00501576435514,0.000501576435514
2008-04-30,0.00763631741971,0.000763631741971
2008-05-31,0.0188201853647,0.00188201853647
2008-06-30,0.0132678935643,0.00132678935643
2008-07-31,0.00229251392425,0.000229251392425
2008-08-31,0.012090509788,0.0012090509788
2008-09-30,0.0152674068125,0.00152674068125
2008-10-31,0.0280691739869,0.00280691739869
2008-11-30,0.0178725781563,0.00178725781563
2008-12-31,0.213862453803,0.0213862453803
2009-01-31,0.0166408262672,0.00166408262672
2009-02-28,0.0109252699514,0.00109252699514
2009-03-31,0.0212877496186,0.00212877496186
2009-04-30,0.0492727459134,0.00492727459134
2009-05-31,0.0325714604578,0.00325714604577
2009-06-30,0.0144442824254,0.00144442824254
2009-07-31,0.0118672089005,0.00118672089005
2009-08-31,0.0338605258906,0.00338605258906
2009-09-30,0.00931818873804,0.000931818873804
2009-10-31,0.00247239493001,0.000247239493001
2009-11-30,0.0128966473949,0.00128966473949
2009-12-31,0.0255212057814,0.00255212057814
2010-01-31,0.00342407012934,0.000342407012934
2010-02-28,0.0170042381861,0.00170042381861
2010-03-31,0.014544476447,0.0014544476447
2010-04-30,0.0017554440529,0.00017554440529
2010-05-31,0.010028311954,0.0010028311954
2010-06-30,0.00515271133044,0.000515271133044
2010-07-31,0.0140326050588,0.00140326050588
2010-08-31,0.00231941860032,0.000231941860032
2010-09-30,0.00887833840401,0.000887833840401
2010-10-31,0.164600502689,0.0164600502689
2010-11-30,0.00673134061823,0.000673134061823
2010-12-31,0.0113373783852,0.00113373783852
2011-01-31,0.0108860741009,0.00108860741009
2011-02-28,0.0115874099417,0.00115874099417
2011-03-31,0.0095451588389,0.00095451588389
2011-04-30,0.00416016331001,0.000416016331001
2011-05-31,0.0211078726381,0.00211078726381
2011-06-30,0.00624722282188,0.000624722282188
2011-07-31,0.00715585179293,0.000715585179293
2011-08-31,0.0111341047089,0.00111341047089
2011-09-30,0.0155274424482,0.00155274424482
2011-10-31,0.0124320713798,0.00124320713798
2011-11-30,0.00725942371707,0.000725942371707
2011-12-31,0.00424881687293,0.000424881687293
2012-01-31,0.00755762517684,0.000755762517684
2012-02-29,0.00894563256556,0.000894563256556
2012-03-31,0.0238148409223,0.00238148409223
2012-04-30,0.019245371998,0.0019245371998
2012-05-31,0.0271200149942,0.00271200149942
2012-06-30,0.00227662769211,0.000227662769211
2012-07-31,0.00343281534844,0.000343281534844
2012-08-31,0.00474620476786,0.000474620476786
2012-09-30,0.00377429697411,0.000377429697411
2012-10-31,0.00455883961725,0.000455883961725
2012-11-30,0.002587554872,0.0002587554872
2012-12-31,0.00403073553211,0.000403073553211
2013-01-31,0.0244072668355,0.00244072668355
2013-02-28,0.00131415282269,0.000131415282269
2013-03-31,0.0150957974093,0.00150957974093
2013-04-30,0.00425681038269,0.000425681038269
2013-05-31,0.0052783621665,0.00052783621665
2013-06-30,0.00438858675428,0.000438858675428
2013-07-31,0.00447546099936,0.000447546099936
2013-08-31,0.00646540929553,0.000646540929553
2013-09-30,0.0152507088166,0.00152507088166
2013-10-31,0.00167049863286,0.000167049863286
2013-11-30,0.0025364661835,0.00025364661835
2013-12-31,0.00703858243775,0.000703858243775
2014-01-31,0.00460717588228,0.000460717588228
2014-02-28,0.00294322610519,0.000294322610519
2014-03-31,0.00289240308086,0.000289240308086
2014-04-30,0.00795150811369,0.000795150811369
2014-05-31,0.00759687296469,0.000759687296469
2014-06-30,0.004163983182,0.0004163983182
2014-07-31,0.00111652719169,0.000111652719169
2014-08-31,0.0719579639568,0.00719579639568
2014-09-30,0.00496051467086,0.000496051467086
2014-10-31,0.00643097256036,0.000643097256036
2014-11-30,0.0151244065425,0.00151244065425
2014-12-31,0.0102926883541,0.00102926883541
2015-01-31,0.00923385207186,0.000923385207186
2015-02-28,0.00367172506219,0.000367172506219
2015-03-31,0.00431658887619,0.000431658887619
2015-04-30,0.000924643065694,9.24643065694e-05
2015-05-31,0.00269045490003,0.000269045490003
2015-06-30,0.021538030575,0.0021538030575
2015-07-31,0.00373712348119,0.000373712348119
2015-08-31,0.004785825471,0.0004785825471
2015-09-30,0.0119112205446,0.00119112205446
2015-10-31,0.00549938552561,0.000549938552561
2015-11-30,0.0133855969187,0.00133855969187
2015-12-31,0.00479382663119,0.000479382663119
"12080","46463","80415","80943","84031","89003","90588","91429","91613","92941"
,Returns,Ratio
2007-01-31,0.0292616984668,0.00292616984668
2007-02-28,0.00361819299198,0.000361819299198
2007-03-31,0.00518443709736,0.000518443709736
2007-04-30,0.00770468096107,0.000770468096107
2007-05-31,0.0120501948423,0.00120501948423
